"Description","DistinguishedName","DNSHostName","Enabled","Name","ObjectClass","ObjectGUID","PasswordLastSet","SamAccountName","SID","UserPrincipalName"
,"CN=015418,CN=Computers,DC=moorfields,DC=nhs,DC=uk","015418.moorfields.nhs.uk","True","015418","computer","66157d34-24f0-4ed8-8dfa-b9bebc327081","19/10/2020 10:36:58","015418$","S-1-5-21-563353728-1466834001-1008150880-60818",
,"CN=103985-HE-MI,CN=Computers,DC=moorfields,DC=nhs,DC=uk","103985-HE-MI.moorfields.nhs.uk","True","103985-HE-MI","computer","683a49fd-3e58-4807-bbbb-bc9243a1d6f3","17/10/2020 08:58:29","103985-HE-MI$","S-1-5-21-563353728-1466834001-1008150880-65175",
"ACQISOCT1 - MEH 3rd Floor RTU","CN=ACQISOCT1,CN=Computers,DC=moorfields,DC=nhs,DC=uk","ACQISOCT1.moorfields.nhs.uk","True","ACQISOCT1","computer","56f2f181-c9e4-4f90-b60e-59e915f12f32","27/10/2020 05:58:09","ACQISOCT1$","S-1-5-21-563353728-1466834001-1008150880-53053",
"ACQISOCT2 - MEH 3rd Floor RTU","CN=ACQISOCT2,CN=Computers,DC=moorfields,DC=nhs,DC=uk","ACQISOCT2.moorfields.nhs.uk","True","ACQISOCT2","computer","c0a6a587-1124-4418-92fd-caad89706181","28/10/2020 18:29:25","ACQISOCT2$","S-1-5-21-563353728-1466834001-1008150880-53917",
,"CN=ACQUISITION_DE1,CN=Computers,DC=moorfields,DC=nhs,DC=uk","ACQUISITION_DE1.moorfields.nhs.uk","True","ACQUISITION_DE1","computer","3750a5ec-f271-4b30-8208-fe6a48b70792","11/10/2020 08:06:49","ACQUISITION_DE1$","S-1-5-21-563353728-1466834001-1008150880-56812",
,"CN=ACQUISITIONSLG,CN=Computers,DC=moorfields,DC=nhs,DC=uk","ACQUISITIONSLG.moorfields.nhs.uk","True","ACQUISITIONSLG","computer","a9020283-0384-4283-96d0-60413bf31189","26/10/2020 07:50:52","ACQUISITIONSLG$","S-1-5-21-563353728-1466834001-1008150880-50310",
,"CN=ANTERION,CN=Computers,DC=moorfields,DC=nhs,DC=uk","ANTERION.moorfields.nhs.uk","True","ANTERION","computer","2056bc6e-2e91-4409-9219-aca4e87e82a4","09/10/2020 16:44:38","ANTERION$","S-1-5-21-563353728-1466834001-1008150880-51911",
,"CN=APPLICATIONS2,OU=Servers,DC=moorfields,DC=nhs,DC=uk","Applications2.moorfields.nhs.uk","True","APPLICATIONS2","computer","28476553-c838-42e0-8158-2e75812d7f57","30/10/2020 14:37:07","APPLICATIONS2$","S-1-5-21-563353728-1466834001-1008150880-48362",
,"CN=ASHLEY7,CN=Computers,DC=moorfields,DC=nhs,DC=uk","ASHLEY7.moorfields.nhs.uk","True","ASHLEY7","computer","998173dc-ff5f-456d-b3b7-ebec5cfad335","27/10/2020 17:31:52","ASHLEY7$","S-1-5-21-563353728-1466834001-1008150880-47374",
,"CN=CASIA2,CN=Computers,DC=moorfields,DC=nhs,DC=uk","CASIA2.moorfields.nhs.uk","True","CASIA2","computer","9d17eb24-7789-4ed6-8eb1-5be9e8ce2ee1","03/11/2020 12:27:11","CASIA2$","S-1-5-21-563353728-1466834001-1008150880-55035",
,"CN=CONTRONICSINFO,CN=Computers,DC=moorfields,DC=nhs,DC=uk","contronicsinfo.moorfields.nhs.uk","True","CONTRONICSINFO","computer","037ad1c7-206f-4f1b-8678-e761ec9f2eae","15/10/2020 13:41:22","CONTRONICSINFO$","S-1-5-21-563353728-1466834001-1008150880-62391",
,"CN=CSO_OCT_SG,CN=Computers,DC=moorfields,DC=nhs,DC=uk","CSO_OCT_SG.moorfields.nhs.uk","True","CSO_OCT_SG","computer","4371231d-0a79-46d3-94fc-bddcccd3b42c","06/10/2020 11:09:01","CSO_OCT_SG$","S-1-5-21-563353728-1466834001-1008150880-56819",
,"CN=DEMDXLEARN,OU=Servers,DC=moorfields,DC=nhs,DC=uk","DEMDXLearn.moorfields.nhs.uk","True","DEMDXLEARN","computer","c16f2bd9-544e-4760-a39c-8ba27ca67678","13/10/2020 20:07:55","DEMDXLEARN$","S-1-5-21-563353728-1466834001-1008150880-61242",
