"name","OU"
"015418","CN=Computers"
"101132-HE-VF","CN=Computers"
"103985-HE-MI","CN=Computers"
"106107-HE-NWP","CN=Computers"
"ACQISOCT1","CN=Computers"
"ACQISOCT2","CN=Computers"
"ACQUISITION_DE1","CN=Computers"
"ACQUISITIONSLG","CN=Computers"
"APPLICATIONS2","OU=Servers"
"ASHLEY7","CN=Computers"
"CASIA2","CN=Computers"
"CASIA2-CLINIC4","CN=Computers"
"CONTRONICSINFO","CN=Computers"
"DEMDXLEARN","OU=Servers"
"DEMDXTRIAGE","OU=Servers"
"DM-MEH","OU=Servers"
"EALOCT200050G","CN=Computers"
"EDD_ESPION_R6","CN=Computers"
"EDD_R2_E3","CN=Computers"
"EDD_R222_E3","CN=Computers"
"EDD_R4_E3_TEMP","CN=Computers"
"EDD_R406_E3","CN=Computers"
"EDD_R5_E3","CN=Computers"
"EDD_R6_ROLAND","CN=Computers"
"EDD_SERVER2","OU=Servers"
"ESPIO_3_TEMP","CN=Computers"
"ESTATES22","CN=Computers"
"harj3","CN=Computers"
"HE_DV","CN=Computers"
"HE_RDROOM14","CN=Computers"
"HE_SG","CN=Computers"
"HE-CRLG-13-3","CN=Computers"
"HE-MACTEL-PC","CN=Computers"
"HE-OCT-CRFROOM2","CN=Computers"
"HE-R2-OCT2","CN=Computers"
"HE-RDCEC4-05","CN=Computers"
"HE-RDCEC-R4-05","CN=Computers"
"HEROOM134-HP","CN=Computers"
"HE-RTC2","CN=Computers"
"HRA-OCT-104189","CN=Computers"
"HRT2-GRU-CRF","CN=Computers"
"HRT-CLINIC4","CN=Computers"
"INSTALLSVR","OU=Servers"
"INTRANET3","OU=Servers"
"ITWIN10","OU=Test Desktop"
"KONAN_RDROOM20","CN=Computers"
"LD_NBK12684","OU=Laptops"
"LD_NBK12685","OU=Laptops"
"LD_NBK12775","OU=Laptops"
"LD_NBK12777","OU=Laptops"
"LD_NBK12796","OU=Laptops"
"LD_NBK12884","OU=Laptops"
"LD_NBK13860","OU=Laptops"
"LOANTRITONCU","CN=Computers"
"M0014633","CN=Computers"
"M010323","CN=Computers"
"M010324","CN=Computers"
"M010577","CN=Computers"
"M010735","CN=Computers"
"M010736","CN=Computers"
"M011017","CN=Computers"
"M011156","CN=Computers"
"M01147","CN=Computers"
"M0114786","CN=Computers"
"M011579","CN=Computers"
"M011597","CN=Computers"
"M011598","OU=Big Hand"
"M011601","CN=Computers"
"M011603","CN=Computers"
"M011604","CN=Computers"
"M011605","CN=Computers"
"M011607","CN=Computers"
"M011609","CN=Computers"
"M011611","CN=Computers"
"M011612","CN=Computers"
"M011615","CN=Computers"
"M011617","CN=Computers"
"M011618","CN=Computers"
"M011620","CN=Computers"
"M011621","CN=Computers"
"M011625","CN=Computers"
"M011626","CN=Computers"
"M011627","CN=Computers"
"M011628","CN=Computers"
"M011629","CN=Computers"
"M011630","CN=Computers"
"M011631","CN=Computers"
"M011634","CN=Computers"
"M011640","CN=Computers"
"M0116681","CN=Computers"
"M011671","CN=Computers"
"M011674","CN=Computers"
"M011675","CN=Computers"
"M011743","CN=Computers"
"M011768","CN=Computers"
"M011941","CN=Computers"
"M011944","CN=Computers"
"m011946","CN=Computers"
"M011947","CN=Computers"
"M011950","CN=Computers"
"M011952","CN=Computers"
"M011953","CN=Computers"
"M011954","CN=Computers"
"M011968","CN=Computers"
"M011969","CN=Computers"
"M011973","CN=Computers"
