"ServerName","Drive","DriveName","DriveModel","DriveSize","DriveFree","BackupStatus","BackupDate","BackupServer"
"RES-PRINT02","C:","","VM Backup","156186439680","55090692096","True","20/12/2021 22:46:39","MEHDPM-02"
"RES-PRINT01","C:","","VM Backup","116289171456","75678175232","True","21/12/2021 02:26:07","MEHDPM-02"
"RES-CB01","C:","","VM Backup","76783022080","47955800064","True","20/12/2021 23:03:49","MEHDPM-02"
"RADCENTRE11G","C:","","VM Backup","76783022080","54297845760","True","20/12/2021 22:38:21","MEHDPM-02"
"MEHWINDIPWEB2","C:","","VM Backup","76940308480","50804142080","True","21/12/2021 02:09:10","MEHDPM-02"
"MEHWINDIPWEB1","C:","","VM Backup","76940308480","51807404032","True","21/12/2021 00:59:23","MEHDPM-02"
"MEHWINDIP","C:","","VM Backup","172435173376","111388901376","True","21/12/2021 00:44:26","MEHDPM-02"
"MEHWINDIP","E:","SAN Data","DataCore Virtual Disk  Multi-Path Disk Device","2198885888000","599564115968","True","21/12/2021 12:11:20","MEHDPM-01"
"MEHWEB-02","C:","","VM Backup","74567380992","51747532800","True","20/12/2021 21:06:21","MEHDPM-02"
"MEHWEB-01","C:","","VM Backup","74567380992","23270612992","True","20/12/2021 21:02:37","MEHDPM-02"
"MEHWAP02","C:","","VM Backup","133571801088","109748064256","True","20/12/2021 21:08:56","MEHDPM-02"
"MEHWAP01","C:","","VM Backup","133571801088","110382178304","True","21/12/2021 02:39:37","MEHDPM-02"
"MEHVIRTUOSO","C:","","VM Backup","133571801088","100787863552","True","20/12/2021 23:00:40","MEHDPM-02"
"MEHVECTRA","C:","","VM Backup","76783022080","52328153088","True","20/12/2021 22:12:49","MEHDPM-02"
"MEHVECTRA","E:","Data","DataCore Virtual Disk SCSI Disk Device","1099375308800","748516315136","True","21/12/2021 12:29:48","MEHDPM-03"
"MEHUNIFLOW1","C:","","VM Backup","106846744576","54878478336","True","20/12/2021 21:42:17","MEHDPM-02"
"MEHUATTAS","C:","","VM Backup","76940308480","43337199616","True","21/12/2021 02:02:20","MEHDPM-02"
"MEHTIGERWEB","C:","","VM Backup","76783022080","41404649472","True","20/12/2021 23:46:35","MEHDPM-02"
"MEHTANSYNC","C:","","VM Backup","76940308480","42774077440","True","20/12/2021 22:37:55","MEHDPM-02"
"MEHSYNAPP","C:","","VM Backup","128479911936","83643604992","True","20/12/2021 21:47:26","MEHDPM-02"
"MEHSW","C:","","VM Backup","133847576576","10843504640","True","20/12/2021 23:41:02","MEHDPM-02"
"MEHSQLDEV4","C:","","VM Backup","106846744576","22193135616","True","21/12/2021 00:34:06","MEHDPM-02"
"MEHSQLDEV3","C:","","VM Backup","106846744576","22289481728","True","20/12/2021 21:42:17","MEHDPM-02"
"MEHSQLDEV2","C:","","VM Backup","156397203456","75429748736","True","01/12/2021 07:42:53","MEHDPM-02"
"MEHSQLDEV1","C:","","VM Backup","156397203456","59990798336","True","20/12/2021 21:35:55","MEHDPM-02"
"MEHSQL4","C:","","VM Backup","214220926976","27364462592","True","21/12/2021 09:25:44","MEHDPM-02"
"MEHSQL3","C:","","VM Backup","214220926976","19340840960","True","21/12/2021 09:27:47","MEHDPM-02"
"MEHSQL2","C:","","VM Backup","156397203456","26372526080","True","21/12/2021 03:18:38","MEHDPM-02"
"MEHSQL1","C:","","VM Backup","156397203456","47066234880","True","21/12/2021 02:23:10","MEHDPM-02"
"MEHSOLARDPA","C:","","VM Backup","133571801088","104279797760","True","21/12/2021 00:57:46","MEHDPM-02"
