"ServerName","Drive","DriveName","DriveModel","DriveSize","DriveFree","BackupStatus","BackupDate","BackupServer"
"RES-SQL02","Q:","Satellite Backup Q","DataCore Virtual Disk  Multi-Path Disk Device","15393079930880","15119384862720","False","",""
"RES-SQL02","R:","Satellite Backup R","DataCore Virtual Disk  Multi-Path Disk Device","7133803311104","2800392871936","False","",""
"RES-SQL02","S:","Satellite Backup S","DataCore Virtual Disk  Multi-Path Disk Device","8233314938880","1973673328640","False","",""
"RES-SQL02","T:","Satellite Backup T","DataCore Virtual Disk  Multi-Path Disk Device","12094490537984","591104438272","False","",""
"RES-SQL02","U:","Satellite Backup U","DataCore Virtual Disk  Multi-Path Disk Device","12669714165760","517458337792","False","",""
"RES-SQL02","V:","Satellite Backup V","DataCore Virtual Disk  Multi-Path Disk Device","16492537049088","421324812288","False","",""
"RES-SQL02","W:","Satellite Backup W","DataCore Virtual Disk  Multi-Path Disk Device","8271667654656","1002535989248","False","",""
"RES-SQL02","X:","Topcon Temp","DataCore Virtual Disk  Multi-Path Disk Device","15393026469888","6695318994944","False","",""
"RES-SQL02","Y:","New Volume","DataCore Virtual Disk  Multi-Path Disk Device","10994978910208","10994451451904","False","",""
"MEHVMS2","E:","Hyper-V (SSD Disk)","INTEL SSDPE2KE016T8","1600303132672","196974297088","False","",""
"MEHVMS1","E:","Hyper V (SSD disk)","INTEL SSDPE2KE016T8","1600319909888","196590161920","False","",""
"MEHVM-PB","D:","VID","HP iLO LUN 00 Media 0 USB Device","267862016","50720768","False","",""
"MEHVM7","E:","SAN VM Data","DataCore Virtual Disk  Multi-Path Disk Device","3873621143552","34696658944","False","",""
"MEHVM-05","F:","VID","iLO LUN 00 Media 0 USB Device","534761472","439238656","False","",""
"MEHVM-01","F:","VID","iLO LUN 00 Media 0 USB Device","534761472","439238656","False","",""
"MEHSCVMM19","F:","SAN Disk","DataCore Virtual Disk  Multi-Path Disk Device","1061158907904","381508976640","False","",""
"MEHRHAPSODY-TES","E:","New Volume","DataCore Virtual Disk  Multi-Path Disk Device","53550772224","41420234752","False","",""
"MEHRHAPSODY-DE","D:","SAN DATA","DataCore Virtual Disk  Multi-Path Disk Device","53550772224","30517297152","False","",""
"MEHRHAP-PROD","E:","SAN - ONLY FOR BACKUPS","DataCore Virtual Disk  Multi-Path Disk Device","536734593024","115908554752","False","",""
"MEHREDIR","T:","SAN Folder Redirect Archive","DataCore Virtual Disk  Multi-Path Disk Device","1099492749312","872527982592","False","",""
"MEHREDC02","E:","New Volume","DataCore Virtual Disk  Multi-Path Disk Device","2199004377088","2189871296512","False","",""
"MEHREDC01","E:","New Volume","DataCore Virtual Disk  Multi-Path Disk Device","2199004377088","1687495348224","False","",""
"MEHQV2","E:","San disk ","DataCore Virtual Disk  Multi-Path Disk Device","536734593024","391811465216","False","",""
"MEHPRIPAT-LIV","E:","San Data","DataCore Virtual Disk  Multi-Path Disk Device","536734593024","535753637888","False","",""
"MEHPENTACAM","E:","Old-Data","DataCore Virtual Disk  Multi-Path Disk Device","2198886936576","1034399678464","False","",""
"MEHPENTACAM","K:","Pentacam research ","DataCore Virtual Disk  Multi-Path Disk Device","3298398564352","209558052864","False","",""
"MEHPACSIMS01","S:","IMSS_2","DataCore Virtual Disk  Multi-Path Disk Device","1099375280128","1099164516352","False","",""
"MEHPACSIMS01","V:","IMSFS_2","DataCore Virtual Disk  Multi-Path Disk Device","2198886907904","1800591540224","False","",""
"MEHORADEV3","E:","ORA19-TESTDEV","DataCore Virtual Disk  Multi-Path Disk Device","1099492749312","1095879352320","False","",""
"MEHORADEV3","F:","ORA19-TESTDEV-BACKUP","DataCore Virtual Disk  Multi-Path Disk Device","1099492749312","1099172429824","False","",""
"MEHORADEV1","E:","DB-ORA11-TESTDEV","DataCore Virtual Disk  Multi-Path Disk Device","1099375308800","421926920192","False","",""
"MEHORADEV1","F:","DB-ORA11-TESTDEV-BACKUP","DataCore Virtual Disk  Multi-Path Disk Device","1099374260224","571611021312","False","",""
"MEHORADEV1","G:","DB-ORA12-TESTDEV","DataCore Virtual Disk  Multi-Path Disk Device","1099375308800","785397411840","False","",""
"MEHORADEV1","H:","DB-ORA12-TESTDEV-BACKUP","DataCore Virtual Disk  Multi-Path Disk Device","1099375308800","1034870108160","False","",""
"MEHORA3","E:","ORA19-PROD","DataCore Virtual Disk  Multi-Path Disk Device","1099492749312","1095773712384","False","",""
"MEHORA3","F:","ORA19-PROD-BACKUP","DataCore Virtual Disk  Multi-Path Disk Device","1099492749312","1098850906112","False","",""
"MEHORA1","E:","DB-ORA11-PROD","DataCore Virtual Disk  Multi-Path Disk Device","1099375308800","716780888064","False","",""
"MEHORA1","F:","DB-ORA11-PROD-BACKUP","DataCore Virtual Disk  Multi-Path Disk Device","1099374260224","450468802560","False","",""
"MEHORA1","G:","DB-ORA12-PROD","DataCore Virtual Disk  Multi-Path Disk Device","1099375308800","739094917120","False","",""
"MEHORA1","H:","DB-ORA12-PROD-BACKUP","DataCore Virtual Disk  Multi-Path Disk Device","1099375308800","675801845760","False","",""
"MEHOPTOS-CRO","F:","QNAP-OPTOS-DATA","QNAP iSCSI Storage SCSI Disk Device","8589898936320","5921531310080","False","",""
"MEHMEDISOFT","F:","SAN Disk","DataCore Virtual Disk  Multi-Path Disk Device","575087308800","75071344640","False","",""
"MEHLOOKEEN","E:","Data","DataCore Virtual Disk  Multi-Path Disk Device","214745214976","144246050816","False","",""
"MEHISLR","E:","San Disk","DataCore Virtual Disk  Multi-Path Disk Device","107237863424","107117993984","False","",""
"MEHIRESEARCH","F:","SAN Disk","DataCore Virtual Disk  Multi-Path Disk Device","1099375308800","447505764352","False","",""
"MEHINTRA3-TEST","E:","Data","DataCore Virtual Disk  Multi-Path Disk Device","1099374260224","1099148546048","False","",""
"MEHINTRA3-DEV","E:","SAN","DataCore Virtual Disk  Multi-Path Disk Device","1099375308800","1096152158208","False","",""
"MEHIMGDWHDICOM","E:","SAN DATA","DataCore Virtual Disk  Multi-Path Disk Device","14922659393536","138603118592","False","",""
"MEHIMGDWHDEV","E:","SAN Data","DataCore Virtual Disk  Multi-Path Disk Device","1099375308800","1024513396736","False","",""
"MEHIMAGENET6TST","F:","New Volume","DataCore Virtual Disk  Multi-Path Disk Device","5497421819904","5497061371904","False","",""
"MEHIMAGENET6","H:","Archive11","DataCore Virtual Disk  Multi-Path Disk Device","2564394315776","178424004608","False","",""
"MEHIMAGENET6","I:","Archive12","DataCore Virtual Disk  Multi-Path Disk Device","4397909143552","1137252589568","False","",""
"MEHIMAGENET6","J:","SAN Disk (OCT2000)","DataCore Virtual Disk  Multi-Path Disk Device","15393025957888","3095454576640","False","",""
"MEHIMAGENET6","J:","SAN Disk (OCT2000)","DataCore Virtual Disk  Multi-Path Disk Device","15393025957888","3095454576640","False","",""
"MEHIMAGENET6","J:","SAN Disk (OCT2000)","DataCore Virtual Disk  Multi-Path Disk Device","15393025957888","3095454576640","False","",""
"MEHIMAGENET6","J:","SAN Disk (OCT2000)","DataCore Virtual Disk  Multi-Path Disk Device","15393025957888","3095454576640","False","",""
"MEHIMAGENET6","J:","SAN Disk (OCT2000)","DataCore Virtual Disk  Multi-Path Disk Device","15393025957888","3095454576640","False","",""
"MEHIMAGENET6","K:","Archive7","DataCore Virtual Disk  Multi-Path Disk Device","3559048343552","287933198336","False","",""
"MEHIMAGENET6","L:","Archive8","DataCore Virtual Disk  Multi-Path Disk Device","3978478743552","5847842816","False","",""
"MEHIMAGENET6","M:","Archive9","DataCore Virtual Disk  Multi-Path Disk Device","4187455746048","258197692416","False","",""
"MEHIMAGENET6","N:","Archive13","DataCore Virtual Disk  Multi-Path Disk Device","3298398564352","34344845312","False","",""
"MEHIMAGENET6","Q:","FastTempCache","DataCore Virtual Disk  Multi-Path Disk Device","4188193943552","421196500992","False","",""
"MEHIMAGENET6","V:","Archive6","DataCore Virtual Disk  Multi-Path Disk Device","6962440826880","407091441664","False","",""
"MEHIMAGENET6","X:","Archive10","DataCore Virtual Disk  Multi-Path Disk Device","2564394315776","149829279744","False","",""
"MEHIMAGENET","F:","SAN Disk (ImageNet)","DataCore Virtual Disk  Multi-Path Disk Device","12094491074560","150256697344","False","",""
"MEHIMAGENET","F:","SAN Disk (ImageNet)","DataCore Virtual Disk  Multi-Path Disk Device","12094491074560","150256697344","False","",""
"MEHIMAGENET","F:","SAN Disk (ImageNet)","DataCore Virtual Disk  Multi-Path Disk Device","12094491074560","150256697344","False","",""
