"ServerName","Drive","DriveName","DriveModel","DriveSize","DriveFree","BackupStatus","BackupDate","BackupServer"
"RES-SQL02","C:","","Virtual HD ATA Device","107266174976","13603340288","False","",""
"MEHVDI-02","C:","","Microsoft Virtual Disk","106728255488","71026528256","False","",""
"MEHVDI-01","C:","","Microsoft Virtual Disk","106728255488","67715911680","False","",""
"MEHUAT-02","C:","","Microsoft Virtual Disk","106779635712","13755830272","False","",""
"MEHUAT-01","C:","","Microsoft Virtual Disk","96292827136","33944555520","False","",""
"MEHTAS","C:","","Virtual HD ATA Device","76940308480","28549541888","False","",""
"MEHSW-TST","C:","","Virtual HD ATA Device","107004030976","10058149888","False","",""
"MEHSLBAT","C:","","Virtual HD ATA Device","160533835776","85044838400","False","",""
"MEHSHAREPOINT","C:","","Virtual HD ATA Device","149953703936","58339487744","False","",""
"MEHSCVMM19","C:","","Microsoft Virtual Disk","133571801088","87507755008","False","",""
"MEHSCHWIND","C:","","Microsoft Virtual Disk","133571801088","106684583936","False","",""
"MEHREDC02","C:","","Microsoft Virtual Disk","108405977088","20508794880","False","",""
"MEHREDC01","C:","","Microsoft Virtual Disk","108404928512","42239004672","False","",""
"MEHQSNPRINT","C:","","Microsoft Virtual Disk","133571801088","88162996224","False","",""
"MEHOEXTFER10","C:","","Microsoft Virtual Disk","133571801088","105343082496","False","",""
"MEHIMGDWHDEV","C:","","Virtual HD ATA Device","214220926976","133107924992","False","",""
"MEHIMAGENET6-SP","C:","","Virtual HD ATA Device","267908018176","189956501504","False","",""
"MEHICCRO","C:","","Microsoft Virtual Disk","240944934912","198746882048","False","",""
"MEHIC6","C:","","Virtual HD ATA Device","76940308480","16434032640","False","",""
"MEHHPDM","C:","","Virtual HD ATA Device","214169546752","50380369920","False","",""
"MEHHEYEX2-TST","C:","","Virtual HD ATA Device","160533835776","48800780288","False","",""
"MEHHEYEX2-HUB","C:","","Microsoft Virtual Disk","160414298112","87403098112","False","",""
"MEHFTP","C:","","Virtual HD ATA Device","76783022080","13739479040","False","",""
"MEHFORUM-SPARE","C:","","Virtual HD ATA Device","76783022080","18445910016","False","",""
"MEHFORUM-RW","C:","","Microsoft Virtual Disk","214101389312","181052366848","False","",""
"MEHFORUM-GW","C:","","Microsoft Virtual Disk","214101389312","172125343744","False","",""
"MEHEMA","C:","","Microsoft Virtual Disk","133571801088","106772021248","False","",""
"MEHECOSTRUX","C:","","Microsoft Virtual Disk","133571801088","107315372032","False","",""
"MEHDWSSDT","C:","","Virtual HD ATA Device","214220926976","64297074688","False","",""
"MEHDCSTG","C:","","Virtual HD ATA Device","156397203456","116479361024","False","",""
"MEHDCSTA","C:","","Virtual HD ATA Device","135996108800","88130109440","False","",""
"MEHDCSLG1","C:","","Virtual HD ATA Device","76940308480","15657807872","False","",""
"MEHDCPB1","C:","","Virtual HD ATA Device","156397203456","117427462144","False","",""
"MEHDCNWP","C:","","Virtual HD ATA Device","156397203456","115481853952","False","",""
"MEHDCME1","C:","","Virtual HD ATA Device","155924295680","117540757504","False","",""
"MEHDCEAL","C:","","Virtual HD ATA Device","156397203456","120952291328","False","",""
"MEHDCCRO","C:","","Virtual HD ATA Device","76940308480","10397241344","False","",""
"MEHCSSD-2","C:","","Microsoft Virtual Disk","133571801088","104284393472","False","",""
"MEHCROWS2","C:","","Virtual HD ATA Device","76783022080","33340252160","False","",""
"EPMIVANTI","C:","","Virtual HD ATA Device","106846744576","22348820480","False","",""
