"ComputerName","Log","EventID","Datetime","User","SessionID","SourceIP","DisconReason","Message"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","21","14/11/2022 09:57:49","CITY_ROAD\gisanrinm","21","192.168.17.100","","Remote Desktop Services: Session logon succeeded:

User: CITY_ROAD\gisanrinm
Session ID: 21
Source Network Address: 192.168.17.100"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","40","14/11/2022 09:57:27","CITY_ROAD\gisanrinm","20","192.168.17.100","0","Session 20 has been disconnected, reason code 0"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","40","14/11/2022 09:54:31","CITY_ROAD\gisanrinm","19","192.168.17.100","11","Session 19 has been disconnected, reason code 11"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","24","14/11/2022 09:54:31","CITY_ROAD\tyler-moores","19","192.168.17.100","","Remote Desktop Services: Session has been disconnected:

User: CITY_ROAD\tyler-moores
Session ID: 19
Source Network Address: 192.168.17.100"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","40","14/11/2022 09:54:31","CITY_ROAD\tyler-moores","19","192.168.17.100","11","Session 19 has been disconnected, reason code 11"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","21","14/11/2022 09:43:19","CITY_ROAD\tyler-moores","19","192.168.17.100","","Remote Desktop Services: Session logon succeeded:

User: CITY_ROAD\tyler-moores
Session ID: 19
Source Network Address: 192.168.17.100"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","21","14/11/2022 09:32:42","CITY_ROAD\sullivanp","17","192.168.17.100","","Remote Desktop Services: Session logon succeeded:

User: CITY_ROAD\sullivanp
Session ID: 17
Source Network Address: 192.168.17.100"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","24","14/11/2022 09:32:18","CITY_ROAD\lebronk","15","192.168.17.100","","Remote Desktop Services: Session has been disconnected:

User: CITY_ROAD\lebronk
Session ID: 15
Source Network Address: 192.168.17.100"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","40","14/11/2022 09:32:17","CITY_ROAD\lebronk","15","192.168.17.100","11","Session 15 has been disconnected, reason code 11"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","21","14/11/2022 09:23:18","CITY_ROAD\bhimanis","18","192.168.17.100","","Remote Desktop Services: Session logon succeeded:

User: CITY_ROAD\bhimanis
Session ID: 18
Source Network Address: 192.168.17.100"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","40","14/11/2022 09:23:06","CITY_ROAD\bhimanis","16","192.168.17.100","5","Session 16 has been disconnected, reason code 5"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","40","14/11/2022 09:22:02","CITY_ROAD\bhimanis","17","192.168.17.100","0","Session 17 has been disconnected, reason code 0"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","40","14/11/2022 09:21:48","CITY_ROAD\bhimanis","17","192.168.17.100","12","Session 17 has been disconnected, reason code 12"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","24","14/11/2022 09:21:21","CITY_ROAD\williamso2","16","192.168.17.100","","Remote Desktop Services: Session has been disconnected:

User: CITY_ROAD\williamso2
Session ID: 16
Source Network Address: 192.168.17.100"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","40","14/11/2022 09:21:20","CITY_ROAD\williamso2","16","192.168.17.100","0","Session 16 has been disconnected, reason code 0"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","21","14/11/2022 09:16:16","CITY_ROAD\williamso2","16","192.168.17.100","","Remote Desktop Services: Session logon succeeded:

User: CITY_ROAD\williamso2
Session ID: 16
Source Network Address: 192.168.17.100"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","24","14/11/2022 09:15:48","CITY_ROAD\pentiahs","10","192.168.17.100","","Remote Desktop Services: Session has been disconnected:

User: CITY_ROAD\pentiahs
Session ID: 10
Source Network Address: 192.168.17.100"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","40","14/11/2022 09:15:48","CITY_ROAD\pentiahs","10","192.168.17.100","0","Session 10 has been disconnected, reason code 0"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","40","14/11/2022 09:11:42","CITY_ROAD\pentiahs","10","192.168.17.100","5","Session 10 has been disconnected, reason code 5"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","21","14/11/2022 09:03:08","CITY_ROAD\lebronk","15","192.168.17.100","","Remote Desktop Services: Session logon succeeded:

User: CITY_ROAD\lebronk
Session ID: 15
Source Network Address: 192.168.17.100"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","21","14/11/2022 08:55:04","CITY_ROAD\uddinf","14","192.168.17.100","","Remote Desktop Services: Session logon succeeded:

User: CITY_ROAD\uddinf
Session ID: 14
Source Network Address: 192.168.17.100"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","21","14/11/2022 08:48:37","CITY_ROAD\frasera","13","192.168.17.100","","Remote Desktop Services: Session logon succeeded:

User: CITY_ROAD\frasera
Session ID: 13
Source Network Address: 192.168.17.100"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","21","14/11/2022 08:43:30","CITY_ROAD\carterc","12","192.168.17.100","","Remote Desktop Services: Session logon succeeded:

User: CITY_ROAD\carterc
Session ID: 12
Source Network Address: 192.168.17.100"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","24","14/11/2022 08:40:58","CITY_ROAD\pentiahs","10","192.168.17.100","","Remote Desktop Services: Session has been disconnected:

User: CITY_ROAD\pentiahs
Session ID: 10
Source Network Address: 192.168.17.100"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","40","14/11/2022 08:40:58","CITY_ROAD\pentiahs","10","192.168.17.100","0","Session 10 has been disconnected, reason code 0"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","21","14/11/2022 08:39:59","CITY_ROAD\shanmuganathans","11","192.168.17.100","","Remote Desktop Services: Session logon succeeded:

User: CITY_ROAD\shanmuganathans
Session ID: 11
Source Network Address: 192.168.17.100"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","21","14/11/2022 08:39:00","CITY_ROAD\louzrim","9","192.168.17.100","","Remote Desktop Services: Session logon succeeded:

User: CITY_ROAD\louzrim
Session ID: 9
Source Network Address: 192.168.17.100"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","24","14/11/2022 08:37:58","CITY_ROAD\riceroa","7","192.168.17.100","","Remote Desktop Services: Session has been disconnected:

User: CITY_ROAD\riceroa
Session ID: 7
Source Network Address: 192.168.17.100"
"MEHRDS-72","Microsoft-Windows-TerminalServices-LocalSessionManager/Operational","40","14/11/2022 08:37:58","CITY_ROAD\riceroa","7","192.168.17.100","11","Session 7 has been disconnected, reason code 11"
