"ComputerName","Log","EventID","Datetime","User","Message"
"MEHRDS-04","Application","3001","15/03/2023 22:41:42","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d9578593384d4b."
"MEHRDS-48","Application","3001","15/03/2023 22:35:26","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d95784130648a7."
"MEHRDS-08","Application","1000","15/03/2023 22:09:29","","Logged in to environment id: {3EEAD755-5D63-46F9-9675-158C047B679C}"
"MEHRDS-66","Application","1000","15/03/2023 22:05:55","","Logged in to environment id: {3EEAD755-5D63-46F9-9675-158C047B679C}"
"MEHRDS-50","Application","3001","15/03/2023 21:13:25","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d957751ad38bca."
"MEHRDS-19","Application","1000","15/03/2023 20:46:38","","Faulting application name: EXCEL.EXE, version: 14.0.7268.5000, time stamp: 0x60500f43
Faulting module name: EXCEL.EXE, version: 14.0.7268.5000, time stamp: 0x60500f43
Exception code: 0xc0000005
Fault offset: 0x0077f77f
Faulting process id: 0xa114
Faulting application start time: 0x01d95746a632cfa6
Faulting application path: C:\Program Files (x86)\Microsoft Office\Office14\EXCEL.EXE
Faulting module path: C:\Program Files (x86)\Microsoft Office\Office14\EXCEL.EXE
Report Id: 7b3c1762-c372-11ed-b883-001dd8b71d59
Faulting package full name: 
Faulting package-relative application ID: "
"MEHRDS-18","Application","3001","15/03/2023 20:11:21","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d95742b73eae1a."
"MEHRDS-53","Application","1000","15/03/2023 20:07:41","","Faulting application name: EXCEL.EXE, version: 14.0.7268.5000, time stamp: 0x60500f43
Faulting module name: EXCEL.EXE, version: 14.0.7268.5000, time stamp: 0x60500f43
Exception code: 0xc0000005
Fault offset: 0x002bc6ae
Faulting process id: 0x44bc
Faulting application start time: 0x01d9571d090623d0
Faulting application path: C:\Program Files (x86)\Microsoft Office\Office14\EXCEL.EXE
Faulting module path: C:\Program Files (x86)\Microsoft Office\Office14\EXCEL.EXE
Report Id: 09f3e377-c36d-11ed-aa68-001dd8b71c42
Faulting package full name: 
Faulting package-relative application ID: "
"MEHRDS-04","Application","3001","15/03/2023 20:00:14","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d957703a5f9352."
"MEHRDS-77","Application","1000","15/03/2023 19:50:23","","Faulting application name: MCAshvinsWorkstation.exe, version: 1.2.1950.0, time stamp: 0x605db654
Faulting module name: ntdll.dll, version: 10.0.14393.5427, time stamp: 0x63368a30
Exception code: 0xc0150014
Fault offset: 0x0008862e
Faulting process id: 0x83c4
Faulting application start time: 0x01d9573a8059b050
Faulting application path: C:\Heyex\MCAshvinsWorkstation.exe
Faulting module path: C:\Windows\SYSTEM32\ntdll.dll
Report Id: 7d690d3c-72c1-4b7c-a6e8-41bbe91d8264
Faulting package full name: 
Faulting package-relative application ID: "
"MEHRDS-77","Application","1000","15/03/2023 19:50:04","","Faulting application name: MCAshvinsWorkstation.exe, version: 1.2.1950.0, time stamp: 0x605db654
Faulting module name: hraviewer.vwm, version: 6.16.9.0, time stamp: 0x605da5a8
Exception code: 0xc0000005
Fault offset: 0x00824c48
Faulting process id: 0x83c4
Faulting application start time: 0x01d9573a8059b050
Faulting application path: C:\Heyex\MCAshvinsWorkstation.exe
Faulting module path: C:\Heyex\plugins\hraviewer.vwm
Report Id: 5503f12f-900c-4fce-8ed9-49d9851a695b
Faulting package full name: 
Faulting package-relative application ID: "
"MEHRDS-17","Application","3001","15/03/2023 19:44:54","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d9571b9658d142."
"MEHRDS-54","Application","3001","15/03/2023 19:39:34","NT AUTHORITY\SYSTEM","The process 'C:\Program Files (x86)\Ivanti\Workspace Control\pfwsmgr.exe' was terminated by the process 'C:\Windows\System32\svchost.exe' with termination code -1073740771. The creation time for the exiting process was 0x01d9576d10145d54."
"MEHRDS-22","Application","1000","15/03/2023 19:36:51","","Faulting application name: runw.exe, version: 6000.0.0.69, time stamp: 0x5ececbb1
Faulting module name: combase.dll, version: 10.0.14393.5717, time stamp: 0x63ddda30
Exception code: 0xc0000005
Fault offset: 0x000b2d85
Faulting process id: 0xe4e0
Faulting application start time: 0x01d957734388f0cc
Faulting application path: C:\Program Files (x86)\Micro Focus\COBOL Server\bin\runw.exe
Faulting module path: C:\WINDOWS\System32\combase.dll
Report Id: cf6183b1-84b6-4ba8-994c-e3ce30b90fdd
Faulting package full name: 
Faulting package-relative application ID: "
