"TimeCreated","User","ServerName","Resource","Action"
"03/12/2021 04:13:17","CITY_ROAD\WongK","MEHGW-01","rds","logon"
"03/12/2021 04:12:52","CITY_ROAD\WongK","MEHGW-01","rds","logoff"
"03/12/2021 04:12:45","CITY_ROAD\WongK","MEHGW-01","rds","logon"
"03/12/2021 03:59:00","CITY_ROAD\KATZM","MEHGW-01","M015512","logoff"
"03/12/2021 03:56:54","CITY_ROAD\KATZM","MEHGW-01","M015512","logon"
"03/12/2021 03:24:40","CITY_ROAD\PackP","MEHGW-01","rds","logoff"
"03/12/2021 02:33:32","CITY_ROAD\PackP","MEHGW-01","rds","logon"
"03/12/2021 02:33:31","CITY_ROAD\PackP","MEHGW-01","rds","logoff"
"03/12/2021 02:32:50","CITY_ROAD\GILLS","MEHGW-01","m016815","logon"
"03/12/2021 02:32:38","CITY_ROAD\PackP","MEHGW-01","rds","logon"
"03/12/2021 01:32:45","CITY_ROAD\TRAVERSA","MEHGW-01","rds","logoff"
"03/12/2021 01:03:45","CITY_ROAD\TRAVERSA","MEHGW-01","rds","logon"
"03/12/2021 01:03:45","CITY_ROAD\TRAVERSA","MEHGW-01","rds","logoff"
"03/12/2021 01:03:38","CITY_ROAD\TRAVERSA","MEHGW-01","rds","logon"
"03/12/2021 00:31:41","CITY_ROAD\SCHIFFE","MEHGW-01","rds","logoff"
"03/12/2021 00:14:55","CITY_ROAD\LAWRENCES","MEHGW-01","rds","logoff"
"03/12/2021 00:13:03","CITY_ROAD\LouwV","MEHGW-02","MEHIMGDW","logoff"
"03/12/2021 00:12:52","CITY_ROAD\NussinovitchH","MEHGW-02","rds","logoff"
"03/12/2021 00:09:10","CITY_ROAD\LouwV","MEHGW-02","MEHIMGDW","logon"
"03/12/2021 00:09:10","CITY_ROAD\LouwV","MEHGW-02","MEHIMGDW","logoff"
"03/12/2021 00:09:03","CITY_ROAD\LouwV","MEHGW-02","MEHIMGDW","logon"
"03/12/2021 00:03:03","CITY_ROAD\LouwV","MEHGW-01","MEHIMGDW","logoff"
"02/12/2021 23:51:20","CITY_ROAD\SabatinoF","MEHGW-01","rds","logoff"
"02/12/2021 23:31:13","CITY_ROAD\CRYANM","MEHGW-02","rds","logoff"
