name,distinguishedname
NOTEBOOK460,"CN=NOTEBOOK460,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NOTEBOOK464,"CN=NOTEBOOK464,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
notebook473,"CN=notebook473,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
M011977,"CN=M011977,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
NOTEBOOK505,"CN=NOTEBOOK505,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NOTEBOOK511,"CN=NOTEBOOK511,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NOTEBOOK513,"CN=NOTEBOOK513,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NOTEBOOK519,"CN=NOTEBOOK519,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
Notebook531,"CN=Notebook531,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
notebook550,"CN=notebook550,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
M013566,"CN=M013566,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
TABLET13841,"CN=TABLET13841,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
M013912,"CN=M013912,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
M013909,"CN=M013909,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
M013894,"CN=M013894,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
M013904,"CN=M013904,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
M013907,"CN=M013907,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
M013892,"CN=M013892,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
M013948,"CN=M013948,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
NB13961,"CN=NB13961,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
M013981,"CN=M013981,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
NOTEBOOK454,"CN=NOTEBOOK454,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NOTEBOOK596,"CN=NOTEBOOK596,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NOTEBOOK598,"CN=NOTEBOOK598,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
notebook606,"CN=notebook606,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB12939,"CN=NB12939,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NOTEBOOK610,"CN=NOTEBOOK610,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
M014700,"CN=M014700,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
NOTEBOOK621,"CN=NOTEBOOK621,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NOTEBOOK624,"CN=NOTEBOOK624,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NOTEBOOK628,"CN=NOTEBOOK628,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
TABLET14924,"CN=TABLET14924,OU=FortiClient-Admin,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
TABLET8981,"CN=TABLET8981,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB14929,"CN=NB14929,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB14946,"CN=NB14946,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
M014711,"CN=M014711,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
TABLET15000,"CN=TABLET15000,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB15062,"CN=NB15062,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB15069,"CN=NB15069,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB15068,"CN=NB15068,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB15073,"CN=NB15073,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB15075,"CN=NB15075,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB15080,"CN=NB15080,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB15078,"CN=NB15078,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB15835,"CN=NB15835,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB15839,"CN=NB15839,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB15838,"CN=NB15838,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
NB15837,"CN=NB15837,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
M015374,"CN=M015374,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
M015396,"CN=M015396,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
M015400,"CN=M015400,CN=Computers,DC=moorfields,DC=nhs,DC=uk"
NB15891,"CN=NB15891,OU=Laptops,DC=moorfields,DC=nhs,DC=uk"
