#TYPE System.Management.Automation.PSCustomObject
"policyid","q_origin_key","name","uuid","srcintf","dstintf","srcaddr","dstaddr","internet-service","internet-service-id","internet-service-group","internet-service-custom","internet-service-custom-group","internet-service-src","internet-service-src-id","internet-service-src-group","internet-service-src-custom","internet-service-src-custom-group","reputation-minimum","reputation-direction","rtp-nat","rtp-addr","action","send-deny-packet","firewall-session-dirty","status","schedule","schedule-timeout","service","tos","tos-mask","tos-negate","anti-replay","tcp-session-without-syn","geoip-anycast","utm-status","inspection-mode","http-policy-redirect","ssh-policy-redirect","webproxy-profile","profile-type","profile-group","profile-protocol-options","ssl-ssh-profile","av-profile","webfilter-profile","dnsfilter-profile","emailfilter-profile","dlp-sensor","ips-sensor","application-list","voip-profile","icap-profile","cifs-profile","waf-profile","ssh-filter-profile","logtraffic","logtraffic-start","capture-packet","auto-asic-offload","np-acceleration","wanopt","wanopt-detection","wanopt-passive-opt","wanopt-profile","wanopt-peer","webcache","webcache-https","webproxy-forward-server","traffic-shaper","traffic-shaper-reverse","per-ip-shaper","application","app-category","url-category","app-group","nat","permit-any-host","permit-stun-host","fixedport","ippool","poolname","session-ttl","vlan-cos-fwd","vlan-cos-rev","inbound","outbound","natinbound","natoutbound","wccp","ntlm","ntlm-guest","ntlm-enabled-browsers","fsso","wsso","rsso","fsso-agent-for-ntlm","groups","users","fsso-groups","auth-path","disclaimer","email-collect","vpntunnel","natip","match-vip","match-vip-only","diffserv-forward","diffserv-reverse","diffservcode-forward","diffservcode-rev","tcp-mss-sender","tcp-mss-receiver","comments","label","global-label","auth-cert","auth-redirect-addr","redirect-url","identity-based-route","block-notification","custom-log-fields","replacemsg-override-group","srcaddr-negate","dstaddr-negate","service-negate","internet-service-negate","internet-service-src-negate","timeout-send-rst","captive-portal-exempt","ssl-mirror","ssl-mirror-intf","dsri","radius-mac-auth-bypass","delay-tcp-npu-session","vlan-filter"
"3","3","","c427d316-f61c-51e8-6901-ad80183768af","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","0","destination","disable","System.Object[]","accept","disable","check-all","enable","always","disable","System.Object[]","0x00","0x00","disable","enable","disable","disable","disable","flow","disable","disable","","single","","default","no-inspection","","","","","","","","","","","","","utm","disable","disable","enable","enable","disable","active","default","","","disable","disable","","","","","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","disable","disable","System.Object[]","0","255","255","disable","enable","disable","disable","disable","disable","disable","System.Object[]","enable","enable","disable","","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","","0.0.0.0 0.0.0.0","disable","disable","disable","disable","000000","000000","0","0","","","","","","","","disable","System.Object[]","","disable","disable","disable","disable","disable","disable","disable","disable","System.Object[]","disable","disable","disable",""
"19","19","","1d38df96-102f-51e9-ae45-4407faadcabd","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","0","destination","disable","System.Object[]","accept","disable","check-all","disable","always","disable","System.Object[]","0x00","0x00","disable","enable","disable","disable","disable","flow","disable","disable","","single","","default","no-inspection","","","","","","","","","","","","","utm","disable","disable","enable","enable","disable","active","default","","","disable","disable","","","","","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","disable","disable","System.Object[]","0","255","255","disable","enable","disable","disable","disable","disable","disable","System.Object[]","enable","enable","disable","","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","","0.0.0.0 0.0.0.0","disable","disable","disable","disable","000000","000000","0","0","","","","","","","","disable","System.Object[]","","disable","disable","disable","disable","disable","disable","disable","disable","System.Object[]","disable","disable","disable",""
"324","324","","2ef7ccd4-f90c-51ea-ef89-5fce4a4ca9ed","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","0","destination","disable","System.Object[]","accept","disable","check-all","disable","always","disable","System.Object[]","0x00","0x00","disable","enable","disable","disable","disable","flow","disable","disable","","single","","default","no-inspection","","","","","","","","","","","","","utm","disable","disable","enable","enable","disable","active","default","","","disable","disable","","","","","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","disable","disable","System.Object[]","0","255","255","disable","enable","disable","disable","disable","disable","disable","System.Object[]","enable","enable","disable","","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","","0.0.0.0 0.0.0.0","disable","disable","disable","disable","000000","000000","0","0","","","","","","","","disable","System.Object[]","","disable","disable","disable","disable","disable","disable","disable","disable","System.Object[]","disable","disable","disable",""
"18","18","","d60e9a46-102b-51e9-1448-6267c445f416","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","0","destination","disable","System.Object[]","accept","disable","check-all","disable","always","disable","System.Object[]","0x00","0x00","disable","enable","disable","disable","disable","flow","disable","disable","","single","","default","no-inspection","","","","","","","","","","","","","utm","disable","disable","enable","enable","disable","active","default","","","disable","disable","","","","","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","disable","disable","System.Object[]","0","255","255","disable","enable","disable","disable","disable","disable","disable","System.Object[]","enable","enable","disable","","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","","0.0.0.0 0.0.0.0","disable","disable","disable","disable","000000","000000","0","0","","","","","","","","disable","System.Object[]","","disable","disable","disable","disable","disable","disable","disable","disable","System.Object[]","disable","disable","disable",""
"6","6","","03918f9c-f61d-51e8-8c2a-5408114bd5ad","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","0","destination","disable","System.Object[]","accept","disable","check-all","enable","always","disable","System.Object[]","0x00","0x00","disable","enable","disable","disable","disable","flow","disable","disable","","single","","default","no-inspection","","","","","","","","","","","","","utm","disable","disable","enable","enable","disable","active","default","","","disable","disable","","","","","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","disable","disable","System.Object[]","0","255","255","disable","enable","disable","disable","disable","disable","disable","System.Object[]","enable","enable","disable","","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","","0.0.0.0 0.0.0.0","disable","disable","disable","disable","000000","000000","0","0","","","","","","","","disable","System.Object[]","","disable","disable","disable","disable","disable","disable","disable","disable","System.Object[]","disable","disable","disable",""
"9","9","","a7b83304-0113-51e9-1be3-944921082a7e","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","0","destination","disable","System.Object[]","accept","disable","check-all","enable","always","disable","System.Object[]","0x00","0x00","disable","enable","disable","disable","disable","flow","disable","disable","","single","","default","no-inspection","","","","","","","","","","","","","utm","disable","disable","enable","enable","disable","active","default","","","disable","disable","","","","","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","disable","disable","System.Object[]","0","255","255","disable","enable","disable","disable","disable","disable","disable","System.Object[]","enable","enable","disable","","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","","0.0.0.0 0.0.0.0","disable","disable","disable","disable","000000","000000","0","0","","","","","","","","disable","System.Object[]","","disable","disable","disable","disable","disable","disable","disable","disable","System.Object[]","disable","disable","disable",""
"10","10","","b3c0aa78-0113-51e9-11c2-892d7e791a68","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","0","destination","disable","System.Object[]","accept","disable","check-all","enable","always","disable","System.Object[]","0x00","0x00","disable","enable","disable","disable","disable","flow","disable","disable","","single","","default","no-inspection","","","","","","","","","","","","","utm","disable","disable","enable","enable","disable","active","default","","","disable","disable","","","","","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","disable","disable","System.Object[]","0","255","255","disable","enable","disable","disable","disable","disable","disable","System.Object[]","enable","enable","disable","","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","","0.0.0.0 0.0.0.0","disable","disable","disable","disable","000000","000000","0","0","","","","","","","","disable","System.Object[]","","disable","disable","disable","disable","disable","disable","disable","disable","System.Object[]","disable","disable","disable",""
"86","86","","1405ec36-3693-51e9-c3df-e770fc6c50af","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","0","destination","disable","System.Object[]","accept","disable","check-all","enable","always","disable","System.Object[]","0x00","0x00","disable","enable","disable","disable","disable","flow","disable","disable","","single","","default","no-inspection","","","","","","","","","","","","","utm","disable","disable","enable","enable","disable","active","default","","","disable","disable","","","","","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","disable","disable","System.Object[]","0","255","255","disable","enable","disable","disable","disable","disable","disable","System.Object[]","enable","enable","disable","","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","","0.0.0.0 0.0.0.0","disable","disable","disable","disable","000000","000000","0","0","","","","","","","","disable","System.Object[]","","disable","disable","disable","disable","disable","disable","disable","disable","System.Object[]","disable","disable","disable",""
"11","11","","bfdc0f82-0113-51e9-5689-cf7cac999752","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","0","destination","disable","System.Object[]","accept","disable","check-all","enable","always","disable","System.Object[]","0x00","0x00","disable","enable","disable","disable","disable","flow","disable","disable","","single","","default","no-inspection","","","","","","","","","","","","","utm","disable","disable","enable","enable","disable","active","default","","","disable","disable","","","","","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","disable","disable","System.Object[]","0","255","255","disable","enable","disable","disable","disable","disable","disable","System.Object[]","enable","enable","disable","","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","","0.0.0.0 0.0.0.0","disable","disable","disable","disable","000000","000000","0","0","","","","","","","","disable","System.Object[]","","disable","disable","disable","disable","disable","disable","disable","disable","System.Object[]","disable","disable","disable",""
"82","82","","2c307476-3692-51e9-02a4-dc5591b84b2a","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","System.Object[]","System.Object[]","System.Object[]","System.Object[]","0","destination","disable","System.Object[]","accept","disable","check-all","enable","always","disable","System.Object[]","0x00","0x00","disable","enable","disable","disable","disable","flow","disable","disable","","single","","default","no-inspection","","","","","","","","","","","","","utm","disable","disable","enable","enable","disable","active","default","","","disable","disable","","","","","System.Object[]","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","disable","disable","System.Object[]","0","255","255","disable","enable","disable","disable","disable","disable","disable","System.Object[]","enable","enable","disable","","System.Object[]","System.Object[]","System.Object[]","disable","disable","disable","","0.0.0.0 0.0.0.0","disable","disable","disable","disable","000000","000000","0","0","","","","","","","","disable","System.Object[]","","disable","disable","disable","disable","disable","disable","disable","disable","System.Object[]","disable","disable","disable",""
